timestep	temperature	potential_energy	kinetic_energy
0	0.3333888948	-388390.375	250040.1875
500	0.003331478918	-392051.6875	2498.594238
1000	0.00333372294	-403931.3438	2500.277344
1500	0.03658407182	-495882.9375	27437.89062
2000	0.01385046262	-661737.4375	10387.78516
2500	0.008283446543	-776343.3125	6212.547852
3000	0.00574334152	-858517.25	4307.480469
3500	0.00449599931	-921482.625	3371.979492
4000	0.003848970868	-973671.9375	2886.710938
4500	0.003479917534	-1019407	2609.922607
5000	0.003251824062	-1060802.5	2438.853516
5500	0.003128969809	-1099255.625	2346.713379
6000	0.003050617175	-1135532.25	2287.949219
6500	0.003015964525	-1170038.5	2261.959961
